J.Portugal Ramos Loureiro (Vinho Verde), 87, 10, 2019, 12, PORTUGAL, Louriero with a touch of Alvarinho has produced a bright wine showing off its green fruits crisp apples and lively acidity. The wine is dry fruity and ready to drink, Roger Voss

Quinta da Raza Dom Diogo Arinto (Vinho Verde), 87, 17, 2019, 14, PORTUGAL, The Arinto as at home in Vinho Verde as Alentejo is a bright crisp and dry wine. Apple flavors are mixed with citrus acidity light and bright but with a final mineral edge. Drink now. , Roger Voss

Casa Ermelinda Freitas Porta Nova Loureiro (Vinho Verde), 87, 9, 2018, 11.5, PORTUGAL, The Loureiro shows well in this dry wine with a prickle on the tongue. Crisp apples and citrus run through the wine along with a ripe texture. Drink now, Roger Voss

Sapateiro Colheita Branco White (Vinho Verde), 87, 9, 2018, 12.5, PORTUGAL, With the extra year from harvest the wine has developed a ripe creamy texture. Mainly Loureiro and Arinto the wine is tangy and juicy with rich lime and green-apple flavors. Drink now. , Roger Voss

Aveleda Fonte Branco White (Vinho Verde), 86, 10, 2019, 9.5, PORTUGAL, There is a light prickle on the tongue from this fruity off-dry wine. Apples and sweet citrus give the wine both freshness and a soft easy texture. The wine is ready to drink, Roger Voss

Quinta da Calcada 2019 Portal da Calcada Reserva White (Vinho Verde), 86, 14, 2019, 11.5, PORTUGAL, This is a classic dry Vinho Verde light textured with citrus zestiness and with a cool crisp character. Dominated by Loureiro the wine has brightness and a final apple aftertaste. Drink now, Roger Voss

Fonte da Cobra White (Vinho Verde), 85, NaN, 2018, 12.5, PORTUGAL, This soft style of wine has hints of yeastiness as well as touches of pear and melon. The wine finishes with acidity. It is ready to drink. , Roger Voss

Casa do Valle Grande Escolha Alvarinho (Vinho Verde), 91, 12, 2018, 13.5, PORTUGAL, This is a deliciously creamy wine ripe and rich in generous fruits. It is lightly textured a touch of pepper giving an edge to the wine's smooth fruitiness. Drink now , Roger Voss

Quinta de Pacos Casa de Pacos Branco Loui, 88, 10, 2018, 13.5, PORTUGAL, This is a deliciously creamy wine ripe and rich in generous fruits. It is lightly textured a touch of pepper giving an edge to the wine's smooth fruitiness. Drink now , Roger Voss

Borges Alvarinho (Vinho Verde), 87, 13, 2018, 13, PORTUGAL, From the northern region of the Vinho Verde close to the Minho river this wine is beautifully fruity lightly structured and textured. Acidity is crisp at the end giving a refreshing wine. Drink from 2020, Roger Voss

Santos & Seixo NV Rotas de Portugal White (Vinho Verde), 83, 9, 2018, 10.5, PORTUGAL, In this crisp wine lemon flavors balance the sweetness that comes through the light prickle on the tongue. The wine is ready to drink, Roger Voss

Anselmo Mendes Parcel Unica Alvarinho (Vinho Verde), 93, 40, 2017, 13, PORTUGAL, This wood-aged Alvarinho comes as its name indicates from a single parcel. The wine is intensely rich full with touches of spice from the wood as well as great apple and citrus fruitiness. The wine is just ready to drink, Roger Voss

Quinta da Raza Raza Branco Escolha White (Vinho Verde), 85, 11, 2018, 11.5, PORTUGAL, Crisp and fruity with a medium-sweet character and bright acidity to balance this is a lightly fizzy wine. It is fresh and ready to drink, Roger Voss

Adega de Monco Danaide White (Vinho Verde), 85, 8, 2018, 12.5, PORTUGAL, This wine created for the American market emphasizes fruitiness. Its lemon flavors and dry aftertaste are both aimed at immediate drinking with a bright lift of acidity and final crisp texture. Drink now, Roger Voss

Adega de Moncao Escolha White (Vinho Verde), 85, 19, 2018, 12, PORTUGAL, A zesty textured wine with acidity and peppered lemon and spice flavors this is light with a nervy character that gives it vitality and freshness. Drink now, Roger Voss

Adega de Monco Fuzelo White (Vinho Verde), 84, 7, 2018, 12.5, PORTUGAL, This is a dry style of Vinho Verde ripe with lemon and apple flavors. Its crisp acidity and bright fruitiness have a texture that gives a light prickle to the wine. It is ready to drink, Roger Voss

Bardo de Vilar Caiu a Noite White (Vinho Verde), 84, 10, 2018, 9.5, PORTUGAL, A typical medium-sweet Vinho Verde with a light prickle this is crisp clean and balanced between green fruits and acidity. Drink now, Roger Voss

Enoport Mapreco White (Vinho Verde), 82, 9, 2018, 10, PORTUGAL, A typical sweet lightly pétillant wine that has a soft indistinct character with lemon and sweets shop candy flavors. Drink in the summer, Roger Voss

